"cell_type","replicate","stim_type","stim_level","stim_unit","time","merged_nuclei","nuclearity","response"
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.831
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.6352
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.4085
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1807
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1869
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2014
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3132
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.0504
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8201
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4648
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.347
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4381
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2022
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4687
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3987
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6074
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2272
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4842
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4872
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.407
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2851
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4058
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7372
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5525
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4602
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.0745
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8366
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1809
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8298
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5698
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2893
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2038
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7215
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.7266
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2915
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.9721
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6073
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.295
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.0842
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6489
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1997
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5603
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3752
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",2.468
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5664
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6801
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5406
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3281
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.3962
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7722
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2799
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.1426
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6937
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.815
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.8359
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4369
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.238
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.2824
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.3274
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.6301
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5617
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.3422
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5837
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.4939
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.7504
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",0.5191
"MEF","PT101","IFNG",0.1,"ng/ml",5,NA,"single-nuclear",1.5181
